nu(mhz) 315.1K

19.998 23921607.6
16.167 19891876.8
13.07 15966312.0
10.569 12725076.0
8.5415 10356568.75
8.5415 10333506.7
6.9048 8311998.24
5.5842 6730077.84
4.5147 5488520.79
3.6496 4514555.2
2.9499 3564659.16
2.3857 2890752.69
1.9276 2368442.12
1.5577 1916282.54
1.2593 1565435.83
1.0181 1251550.33
0.82406 1022576.054
0.66606 818854.164
0.53764 677533.928
0.43548 536903.292
0.35161 437156.713
0.28429 355135.068
0.2302 283076.94
0.18591 230342.49
0.15003 188182.629
0.1213 150060.23
0.098106 120631.1376
0.079151 97949.3625
0.064232 80399.1944
0.051955 64434.591
0.041954 52648.0746
0.033894 42082.7904
0.027479 34318.5231
0.022212 27607.2948
0.017925 22237.755
0.014483 18105.1983
0.011746 14785.8648
0.0094544 11866.21744
0.0076834 9490.53568
0.006225 7748.88
0.0050308 6274.41376
