nu(mhz) 264.4K

19.998 441455850.0
16.167 412695009.0
13.07 392139210.0
10.569 374660481.0
8.5415 369044049.0
8.5415 363492074.0
6.9048 344756664.0
5.5842 321275778.6
4.5147 307451070.0
3.6496 287905995.2
2.9499 258617733.0
2.3857 244701249.0
1.9276 220922236.0
1.5577 196036545.0
1.2593 179790261.0
1.0181 157836043.0
0.82406 138878831.8
0.66606 120863247.6
0.53764 104097856.8
0.43548 88493890.8
0.35161 72881720.8
0.28429 61201951.2
0.2302 51751262.0
0.18591 43430435.1
0.15003 35893177.2
0.1213 28750526.0
0.098106 23516989.26
0.079151 18989907.92
0.064232 15797860.4
0.051955 12919130.3
0.041954 10333270.2
0.033894 8419608.54
0.027479 6882939.92
0.022212 5471481.96
0.017925 4349680.5
0.014483 3555866.16
0.011746 2858389.1
0.0094544 2354523.776
0.0076834 1913550.77
0.006225 1540687.5
0.0050308 1269371.456
