nu(mhz) 280.5K

19.998 270372960.0
17.375 245752000.0
15.096 224160504.0
13.116 206013012.0
11.398 187086772.0
9.9007 171391017.7
8.6022 151338504.6
7.4775 139208617.5
6.4964 122788456.4
5.6447 113447180.6
4.902 99510600.0
4.261 88283659.0
3.7016 78218509.6
3.2157 69681003.3
2.7933 61723550.1
2.4278 53671374.6
2.1087 47468945.7
1.8336 43043760.0
1.5917 37315814.8
1.3838 32616166.0
1.2027 28685597.7
1.044 24622740.0
0.90709 21565157.66
0.78829 18516932.1
0.68572 16541623.56
0.5952 14290156.8
0.5168 12152035.2
0.44927 10835493.86
0.39043 9567096.72
0.33943 8213527.14
0.29458 7001577.44
0.25613 6295931.53
0.22261 5530077.62
0.19355 4768104.25
0.16782 4059230.16
0.14574 3566986.5
0.12692 3151550.52
0.10993 2681302.63
0.095626 2355555.258
0.083237 2068106.502
0.072139 1764159.245
0.062629 1551132.443
0.054531 1319704.731
0.04734 1161818.28
0.041303 1003745.506
0.035678 881246.6
0.031023 765430.479
0.026956 654626.46
0.023416 587039.12
0.020352 492742.272
0.017715 436426.74
0.015456 367358.208
0.013355 331831.685
0.011576 275578.256
0.010084 248449.592
0.008842 226169.518
0.0076834 196272.453
0.0066087 164900.2824
0.0057321 139181.1201
0.0050308 127374.8252
