nu(mhz) 200.0K

19.998 142577740.8
16.167 149400863.7
13.07 149965180.0
10.569 148240794.0
8.5415 167874641.0
6.9048 164120191.2
5.5842 174751954.8
4.5147 168637589.1
3.6496 175720940.8
2.9499 195531171.6
2.3857 177405423.4
1.9276 179706292.8
1.5577 175506059.0
1.2593 171516660.0
1.0181 160839438.0
0.82406 171140780.8
0.66606 161872561.8
0.53764 164017834.8
0.43548 147283690.8
0.35161 123309627.0
0.28429 104704007.0
0.2302 88452048.0
0.18591 81155292.3
0.15003 99628921.8
0.1213 131052520.0
0.098106 57479324.34
0.079151 66076046.31
0.064232 23930916.24
0.051955 25887617.85
0.041954 35691106.88
0.033894 28919038.68
0.027479 24222463.71
0.022212 25241716.8
0.017925 10417472.25
0.014483 11805672.62
0.011746 13754566.0
0.0094544 8729909.328
