nu(mhz) 260.0K

19.998 395120484.0
15.09 359685240.0
11.387 321591654.0
8.5928 273749422.4
8.5928 279197257.6
6.4842 222349702.2
4.895 181570235.0
3.6924 142397406.0
2.7879 113615288.7
2.104 87202384.0
1.5877 68104391.5
1.1974 52317998.2
0.90405 40056647.4
0.68176 30932814.72
0.51452 23573248.32
0.38844 18157627.8
0.29285 13759557.25
0.22111 10482603.99
0.16717 8007610.17
0.12579 6038800.53
0.095133 4603295.604
0.071712 3506931.936
0.054157 2650118.638
0.040978 2021854.52
0.030744 1536954.048
0.023172 1161820.908
0.017504 871769.216
0.013172 652738.46
0.0099244 491793.7176
