nu(mhz) 300.0K

19.998 36144385.2
15.652 28013949.6
12.247 22107059.7
9.5823 17622807.93
8.4996 16252935.12
6.6229 12966313.62
5.1558 10098149.88
4.0178 7977743.68
3.1305 6509248.65
2.4377 5066271.91
1.8989 3984271.98
1.4792 3180871.68
1.1525 2515446.5
0.898 1951264.2
0.69898 1521889.154
0.54467 1213524.76
0.42399 899833.977
0.3302 732647.76
0.25694 569995.696
0.20062 448084.77
0.15627 348560.235
0.12186 270163.62
0.094643 212350.4991
0.073862 167836.6226
0.057549 128990.3286
0.044607 99317.4855
0.034781 76817.3166
0.027217 60936.1413
0.021272 46813.2904
0.016464 36877.7136
0.012808 28305.68
0.0099244 21963.68964
