nu(mhz) 255.1K

19.998 400099986.0
15.251 394939896.0
11.63 403456330.0
8.9994 369524363.4
6.8379 346831963.8
5.1957 312755161.5
3.9478 277044760.6
2.9994 238182354.0
2.9994 237087573.0
2.1435 184656094.5
1.53 141707070.0
1.0934 105888136.2
0.77982 78184753.2
0.55769 58691295.6
0.39743 42052068.3
0.28429 30706162.9
0.20277 22377697.2
0.14513 16270524.3
0.10367 11725077.0
0.073862 8454244.52
0.052686 6135284.7
0.037815 4374061.05
0.026953 3149997.11
0.019229 2256715.44
0.013725 1635745.5
0.0097669 1175055.739
0.0070025 836728.725
0.0050308 613556.368
