sqrtom 383.0K

249.713524389 -48059.4029727
305.654514661 -58825.8024621
373.580128009 -71898.7617592
457.485412426 -88047.1675509
557.374034494 -107271.725508
681.240510509 -131111.059735
833.053309926 -160328.941617
1016.86961111 -195706.215448
1242.61530219 -239153.217036
1516.31329199 -291829.115036
1851.93863287 -356423.547153
2263.47284045 -435627.395009
2762.86840615 -531741.034352
3376.23381659 -649789.302887
4123.3844644 -793585.86984
5036.38948902 -969302.759782
6151.1554688 -1183850.55054
7513.61563996 -1446069.54987
9177.82012398 -1766362.24079
11209.4219197 -2157364.19534
