sqrtom 255.0K

11209.4219197 14.289
9631.12997991 20.676
8274.91108578 30.986
8274.91108578 30.103
7110.08103642 45.081
6107.1774415 68.754
5248.13977639 92.591
4509.00554635 122.03
3873.69373475 159.78
3328.25114686 206.9
2858.76531549 253.35
2457.26292452 306.9
2109.65198089 359.89
1813.97468157 380.74
1558.26820343 423.89
1338.50194564 465.47
1150.70346816 484.92
988.895829301 526.08
849.040546907 521.14
729.18329207 557.35
627.288420942 569.48
537.395614305 613.94
461.478366559 558.82
397.551560451 630.06
341.610305334 587.05
293.660890043 602.02
251.713409729 622.77
215.759402903 611.99
185.781574784 669.29
159.772730045 691.29
137.832648871 648.51
