sqrtom 260.0K

249.713524389 305.566328238
287.684057372 303.666878642
331.63364669 301.468330896
381.567778957 298.970410537
439.511375375 296.071822285
507.41735043 292.674872946
583.333923821 288.877198978
671.252400181 284.479138132
773.135348971 279.38251423
889.022991711 273.58531522
1024.87076639 266.789624443
1178.67514747 259.095666877
1356.47735595 250.201234626
1562.25494101 239.907353551
1798.00570195 228.114085127
2069.69186475 214.52317313
2383.34086462 198.833099291
2742.89738904 180.846533354
3158.45109384 160.058747278
3635.90729892 136.174331529
4185.31866384 108.690408778
4816.64130159 77.1089313734
5545.82654603 40.6319448953
6382.90139112 -1.24214408105
7347.79931051 -49.5104937588
7347.79931051 -49.5104937588
8458.52416754 -105.073734924
9737.21039545 -169.039127259
11209.4219197 -242.685488416
