sqrtom 205.0K

11209.4219197 0.20388
10360.595436 0.23216
9577.48517616 0.29376
8851.98305273 0.33212
8180.98343062 0.42446
7561.58810131 0.43499
7477.65489212 0.5024
6255.0295689 0.75695
5230.15062435 1.2313
4375.12560258 1.6014
3657.96000937 2.0817
3060.55103796 3.1552
2559.09437999 4.3495
2139.60950054 5.3719
1790.00289033 7.9693
1496.33321296 11.712
1252.61208477 16.558
1046.82871064 25.048
875.025120515 33.903
733.179129388 52.784
613.315134971 69.774
511.432029846 98.809
427.525274792 162.33
357.596682551 220.58
299.665287296 370.93
249.713524389 406.32
