sqrtom 207.5K

177.790462746 536.254395131
197.769635023 505.917570296
219.718515354 472.589896422
243.695323891 436.182970719
269.692701266 396.707967818
299.665287296 351.196918629
333.62647934 299.629480302
371.564840579 242.023018758
413.532894103 178.297781758
459.472552305 108.541970831
509.425561532 32.6921973809
567.351375504 -55.2636622283
629.293508909 -149.317991655
699.219003691 -255.494436669
777.131577367 -373.798642033
865.022854167 -507.254734801
960.92502972 -652.874756527
1066.80520935 -813.645604202
1186.67075933 -995.652152979
1318.5198302 -1195.85474958
1466.36682853 -1420.34895928
1628.18965259 -1666.0643773
1809.98696657 -1942.10951036
2011.76244918 -2248.48994429
2235.51334812 -2588.23834497
2485.23060438 -2967.41464699
2762.86840615 -3388.98613369
3070.59405848 -3856.24368983
3569.9878259 -4614.53442561
4119.42069685 -5448.80566235
4752.68883679 -6410.37425831
5483.90461585 -7520.66875392
6326.94030255 -8800.7531139
7299.88512983 -10278.0944367
8422.7932008 -11983.1433237
9012.01715936 -12877.8342434
9717.18625922 -13948.5788751
11209.4219197 -16214.4230861
11209.4219197 -16214.4230861
