sqrtom 209.5K

11209.4219197 0.29623
9503.39442544 0.3439
8055.21288777 0.46924
6828.38852483 0.44574
6828.38852483 0.49216
5787.54359574 0.93296
4906.52876324 1.8406
4159.34158549 2.6153
3526.06963712 3.6123
2988.67466157 4.3449
2533.18320581 6.83
2147.61146546 6.5997
1819.97439498 12.364
1544.27425781 16.024
1308.54639196 24.041
1108.7687032 32.426
940.93763961 48.509
797.092026219 73.406
675.246763318 97.978
573.355260961 146.62
485.458252069 289.56
411.522409577 383.64
349.600515725 533.79
295.675904267 575.69
