sqrtom 219.8K

8682.49142329 0.87965
7929.032235 1.0726
7239.94786629 1.2924
7239.94786629 1.2437
6610.65885132 1.5702
6037.28067651 1.9137
5511.8470223 2.4104
5032.39572163 3.1366
4594.86226879 3.7301
4195.2900594 4.7712
3831.69924541 5.7659
3498.07138088 7.2457
3194.45163641 9.1487
2916.75040172 11.515
2663.04924029 14.859
2431.28729383 17.964
2221.52891752 22.527
2027.73678396 28.144
1851.93863287 35.36
1690.12559776 45.821
1544.27425781 57.443
1410.43230965 72.611
1286.56221665 88.335
1174.6970491 114.13
1072.7959045 143.76
980.889477 176.05
895.010220507 219.61
817.099302864 274.16
745.168773851 336.38
681.240510509 407.75
621.30512288 510.69
567.36798715 590.33
519.404589443 712.44
473.467512496 781.39
431.518805805 831.8
395.539270046 1060.3
359.602887651 1151.7
