sqrtom 240.0K

1234.62575525 619.720083824
1394.43800759 579.827507507
1576.24870056 534.443647144
1782.01702744 483.079445942
2013.76032067 425.231334326
2277.46181152 359.405769049
2575.1259723 285.102390699
2910.71246746 201.332781842
3290.37332271 106.561264509
3719.87351962 -0.651224724552
4203.29498908 -121.323623625
4752.68883679 -258.464147436
5372.02663023 -413.064184848
6073.23494595 -588.10086595
6864.36388707 -785.583669664
7759.34060143 -1008.98911171
7759.34060143 -1008.98911171
8772.12462617 -1261.80179289
9916.87533591 -1547.55619772
11209.4219197 -1870.20363232
