sqrtom 207.5K

11209.4219197 0.28303
9012.01715936 0.42468
11209.4219197 0.24801
9717.18625922 0.31868
8422.7932008 0.42466
7299.88512983 0.55214
6326.94030255 0.73824
5483.90461585 0.96714
4752.68883679 1.33
4119.42069685 1.7456
3569.9878259 2.3291
3070.59405848 3.1672
2762.86840615 3.9696
2485.23060438 4.8857
2235.51334812 6.1446
2011.76244918 7.5266
1809.98696657 9.7379
1628.18965259 12.014
1466.36682853 15.099
1318.5198302 18.849
1186.67075933 24.498
1066.80520935 29.479
960.92502972 36.958
865.022854167 46.786
777.131577367 56.426
699.219003691 70.302
629.293508909 87.653
567.351375504 111.56
509.425561532 155.62
459.472552305 165.72
413.532894103 192.61
371.564840579 242.6
333.62647934 293.81
299.665287296 330.86
269.692701266 374.16
243.695323891 452.96
219.718515354 492.68
197.769635023 507.11
177.790462746 532.01
